policy_id,region_code,current_rain,claim_probability,risk_tier,final_premium
POL037578,C3,0.0,0.00936039937704,Low Risk,10936.039937704001
POL003559,C5,5.8,0.0,Low Risk,10000.0
POL003500,C5,5.8,0.19,High Risk,29000.0
POL056126,C1,12.5,0.0,Low Risk,10000.0
POL008028,C5,5.8,0.1,Moderate,20000.0
POL031647,C14,0.0,0.07,Moderate,17000.0
POL016255,C5,5.8,0.57,High Risk,67000.0
POL012478,C8,0.0,0.01,Low Risk,11000.0
POL038982,C11,0.0,0.73,High Risk,83000.0
POL048092,C5,5.8,0.6,High Risk,70000.0
POL018322,C13,0.0,0.02,Low Risk,12000.0
POL033786,C8,0.0,0.0585750020877981,Moderate,15857.500208779811
POL010579,C12,0.0,0.02,Low Risk,12000.0
POL031250,C1,12.5,0.18,High Risk,28000.0
POL007682,C5,5.8,0.0,Low Risk,10000.0
POL009444,C10,0.0,0.0,Low Risk,10000.0
POL003734,C2,0.0,0.03,Low Risk,13000.0
POL035196,C2,0.0,0.02,Low Risk,12000.0
POL041211,C5,5.8,0.0,Low Risk,10000.0
POL005979,C10,0.0,0.01,Low Risk,11000.0
POL003619,C10,0.0,0.67,High Risk,77000.0
POL055157,C2,0.0,0.02,Low Risk,12000.0
POL018417,C3,0.0,0.02,Low Risk,12000.0
POL053751,C5,5.8,0.08,Moderate,18000.0
POL017595,C9,0.0,0.01,Low Risk,11000.0
POL002411,C9,0.0,0.12,Moderate,22000.0
POL036330,C3,0.0,0.0095643106793294,Low Risk,10956.43106793294
POL009714,C1,12.5,0.06,Moderate,16000.0
POL054274,C8,0.0,0.19,High Risk,29000.0
POL032074,C3,0.0,0.0,Low Risk,10000.0
POL009690,C8,0.0,0.03,Low Risk,13000.0
POL041520,C5,5.8,0.0,Low Risk,10000.0
POL031503,C2,0.0,0.1231997022735757,Moderate,22319.97022735757
POL002146,C5,5.8,0.0,Low Risk,10000.0
POL049207,C8,0.0,0.05,Low Risk,15000.0
POL019496,C14,0.0,0.06936039937704,Moderate,16936.039937704
POL035528,C3,0.0,0.0,Low Risk,10000.0
POL032100,C8,0.0,0.04,Low Risk,14000.0
POL056044,C8,0.0,0.0,Low Risk,10000.0
POL040300,C8,0.0,0.09,Moderate,19000.0
POL035756,C8,0.0,0.19,High Risk,29000.0
POL006653,C11,0.0,0.01,Low Risk,11000.0
POL045257,C5,5.8,0.07,Moderate,17000.0
POL001657,C5,5.8,0.0,Low Risk,10000.0
POL024685,C13,0.0,0.01,Low Risk,11000.0
POL043323,C19,0.2,0.02,Low Risk,12000.0
POL048214,C8,0.0,0.03,Low Risk,13000.0
POL014273,C15,0.0,0.0,Low Risk,10000.0
POL007581,C5,5.8,0.01,Low Risk,11000.0
POL002547,C5,5.8,0.0,Low Risk,10000.0
POL054198,C9,0.0,0.17,High Risk,27000.0
POL011585,C10,0.0,0.1,Moderate,20000.0
POL034108,C7,0.0,0.09,Moderate,19000.0
POL013898,C10,0.0,0.0396696345924979,Low Risk,13966.96345924979
POL030535,C5,5.8,0.0,Low Risk,10000.0
POL025111,C8,0.0,0.02,Low Risk,12000.0
POL054165,C8,0.0,0.0,Low Risk,10000.0
POL042279,C19,0.2,0.0,Low Risk,10000.0
POL052974,C8,0.0,0.07,Moderate,17000.0
POL047539,C2,0.0,0.0,Low Risk,10000.0
POL004997,C9,0.0,0.02,Low Risk,12000.0
POL034433,C2,0.0,0.04,Low Risk,14000.0
POL046620,C5,5.8,0.0,Low Risk,10000.0
POL048655,C8,0.0,0.02,Low Risk,12000.0
POL013747,C2,0.0,0.03,Low Risk,13000.0
POL019335,C9,0.0,0.0,Low Risk,10000.0
POL008081,C3,0.0,0.0,Low Risk,10000.0
POL041982,C6,0.1,0.0,Low Risk,10000.0
POL010184,C14,0.0,0.57,High Risk,67000.0
POL041633,C19,0.2,0.06,Moderate,16000.0
POL011733,C2,0.0,0.07,Moderate,17000.0
POL050668,C14,0.0,0.01,Low Risk,11000.0
POL053188,C1,12.5,0.01,Low Risk,11000.0
POL031197,C4,0.0,0.01,Low Risk,11000.0
POL023567,C15,0.0,0.02,Low Risk,12000.0
POL001048,C14,0.0,0.06,Moderate,16000.0
POL054712,C11,0.0,0.01,Low Risk,11000.0
POL000718,C9,0.0,0.71,High Risk,81000.0
POL012776,C8,0.0,0.0284673326534952,Low Risk,12846.733265349521
POL025633,C2,0.0,0.0,Low Risk,10000.0
POL016861,C1,12.5,0.01,Low Risk,11000.0
POL035578,C9,0.0,0.01,Low Risk,11000.0
POL006585,C2,0.0,0.0,Low Risk,10000.0
POL000094,C2,0.0,0.0,Low Risk,10000.0
POL010721,C10,0.0,0.01,Low Risk,11000.0
POL045408,C8,0.0,0.0396696345924979,Low Risk,13966.96345924979
POL027490,C6,0.1,0.02,Low Risk,12000.0
POL019788,C3,0.0,0.6376736592420124,High Risk,73767.36592420124
POL015734,C19,0.2,0.01,Low Risk,11000.0
POL026470,C5,5.8,0.0,Low Risk,10000.0
POL035895,C8,0.0,0.0,Low Risk,10000.0
POL008967,C14,0.0,0.14,Moderate,24000.000000000004
POL036854,C3,0.0,0.0,Low Risk,10000.0
POL003536,C10,0.0,0.02,Low Risk,12000.0
POL010743,C8,0.0,0.0,Low Risk,10000.0
POL038091,C2,0.0,0.02,Low Risk,12000.0
POL020624,C4,0.0,0.02,Low Risk,12000.0
POL048930,C16,0.0,0.0,Low Risk,10000.0
POL051903,C5,5.8,0.15,Moderate,25000.0
POL042823,C14,0.0,0.01,Low Risk,11000.0
POL028809,C5,5.8,0.0,Low Risk,10000.0
POL057713,C2,0.0,0.01,Low Risk,11000.0
POL011978,C8,0.0,0.0,Low Risk,10000.0
POL028898,C3,0.0,0.0,Low Risk,10000.0
POL020582,C19,0.2,0.01,Low Risk,11000.0
POL045739,C8,0.0,0.6,High Risk,70000.0
POL018509,C1,12.5,0.0,Low Risk,10000.0
POL010348,C3,0.0,0.0,Low Risk,10000.0
POL028137,C18,0.7,0.03,Low Risk,13000.0
POL046732,C18,0.7,0.01,Low Risk,11000.0
POL033744,C2,0.0,0.0379684486423191,Low Risk,13796.844864231909
POL032848,C5,5.8,0.0,Low Risk,10000.0
POL037281,C5,5.8,0.01,Low Risk,11000.0
POL035255,C18,0.7,0.0,Low Risk,10000.0
POL011338,C13,0.0,0.03,Low Risk,13000.0
POL015607,C2,0.0,0.5751637014439198,High Risk,67516.37014439199
POL029145,C2,0.0,0.01,Low Risk,11000.0
POL050945,C6,0.1,0.01,Low Risk,11000.0
POL044148,C8,0.0,0.16,High Risk,26000.0
POL057522,C8,0.0,0.03,Low Risk,13000.0
POL031648,C15,0.0,0.0,Low Risk,10000.0
POL002851,C8,0.0,0.05,Low Risk,15000.0
POL052844,C5,5.8,0.08,Moderate,18000.0
POL029146,C3,0.0,0.01,Low Risk,11000.0
POL010299,C8,0.0,0.08,Moderate,18000.0
POL048178,C8,0.0,0.6708383991999735,High Risk,77083.83991999735
POL025305,C3,0.0,0.0,Low Risk,10000.0
POL039863,C2,0.0,0.0,Low Risk,10000.0
POL044885,C5,5.8,0.0,Low Risk,10000.0
POL017253,C21,0.0,0.05,Low Risk,15000.0
POL036624,C5,5.8,0.01,Low Risk,11000.0
POL047287,C5,5.8,0.02,Low Risk,12000.0
POL053996,C14,0.0,0.02,Low Risk,12000.0
POL010329,C8,0.0,0.0,Low Risk,10000.0
POL015561,C12,0.0,0.01,Low Risk,11000.0
POL036256,C8,0.0,0.0,Low Risk,10000.0
POL032154,C10,0.0,0.05,Low Risk,15000.0
POL011376,C10,0.0,0.01,Low Risk,11000.0
POL028407,C12,0.0,0.07,Moderate,17000.0
POL004957,C13,0.0,0.01,Low Risk,11000.0
POL028192,C7,0.0,0.03,Low Risk,13000.0
POL042186,C3,0.0,0.0,Low Risk,10000.0
POL010117,C9,0.0,0.0,Low Risk,10000.0
POL013320,C5,5.8,0.0,Low Risk,10000.0
POL045396,C14,0.0,0.59,High Risk,69000.0
POL051984,C7,0.0,0.0,Low Risk,10000.0
POL040286,C2,0.0,0.01,Low Risk,11000.0
POL037543,C12,0.0,0.04,Low Risk,14000.0
POL041255,C2,0.0,0.04,Low Risk,14000.0
POL009024,C3,0.0,0.01,Low Risk,11000.0
POL044271,C8,0.0,0.64,High Risk,74000.0
POL043300,C9,0.0,0.0,Low Risk,10000.0
POL039696,C9,0.0,0.0,Low Risk,10000.0
POL018920,C8,0.0,0.0,Low Risk,10000.0
POL009327,C2,0.0,0.06,Moderate,16000.0
POL030206,C13,0.0,0.02,Low Risk,12000.0
POL045304,C3,0.0,0.0,Low Risk,10000.0
POL025163,C3,0.0,0.0,Low Risk,10000.0
POL026051,C5,5.8,0.01,Low Risk,11000.0
POL025987,C3,0.0,0.0478534734279628,Low Risk,14785.34734279628
POL054865,C2,0.0,0.02,Low Risk,12000.0
POL001838,C8,0.0,0.0,Low Risk,10000.0
POL039161,C6,0.1,0.1049647055286211,Moderate,20496.47055286211
POL047763,C10,0.0,0.0,Low Risk,10000.0
POL033907,C8,0.0,0.06,Moderate,16000.0
POL012894,C8,0.0,0.09,Moderate,19000.0
POL001775,C5,5.8,0.01,Low Risk,11000.0
POL042994,C2,0.0,0.76,High Risk,86000.0
POL015898,C2,0.0,0.0082988140498212,Low Risk,10829.88140498212
POL012956,C9,0.0,0.67,High Risk,77000.0
POL023160,C13,0.0,0.01,Low Risk,11000.0
POL048575,C2,0.0,0.0,Low Risk,10000.0
POL029767,C8,0.0,0.01,Low Risk,11000.0
POL007147,C2,0.0,0.03,Low Risk,13000.0
POL029743,C11,0.0,0.02,Low Risk,12000.0
POL040443,C3,0.0,0.01,Low Risk,11000.0
POL034346,C5,5.8,0.57,High Risk,67000.0
POL005568,C3,0.0,0.0,Low Risk,10000.0
POL056187,C2,0.0,0.05,Low Risk,15000.0
POL047292,C2,0.0,0.02,Low Risk,12000.0
POL021930,C8,0.0,0.01,Low Risk,11000.0
POL011055,C3,0.0,0.0,Low Risk,10000.0
POL002515,C8,0.0,0.0,Low Risk,10000.0
POL051555,C10,0.0,0.01,Low Risk,11000.0
POL031549,C13,0.0,0.01,Low Risk,11000.0
POL033280,C3,0.0,0.0,Low Risk,10000.0
POL013249,C22,0.9,0.01,Low Risk,11000.0
POL004305,C8,0.0,0.0,Low Risk,10000.0
POL025810,C5,5.8,0.0,Low Risk,10000.0
POL030007,C8,0.0,0.0,Low Risk,10000.0
POL058303,C14,0.0,0.14,Moderate,24000.000000000004
POL000273,C12,0.0,0.0,Low Risk,10000.0
POL029033,C3,0.0,0.05,Low Risk,15000.0
POL033295,C12,0.0,0.04,Low Risk,14000.0
POL026030,C2,0.0,0.0,Low Risk,10000.0
POL029634,C2,0.0,0.13,Moderate,23000.0
POL047904,C3,0.0,0.0,Low Risk,10000.0
POL038258,C3,0.0,0.0,Low Risk,10000.0
POL019023,C7,0.0,0.0,Low Risk,10000.0
POL004553,C15,0.0,0.0387976980609973,Low Risk,13879.769806099732
POL002820,C2,0.0,0.0,Low Risk,10000.0
POL026147,C13,0.0,0.01,Low Risk,11000.0
POL016862,C5,5.8,0.0,Low Risk,10000.0
POL032364,C6,0.1,0.04,Low Risk,14000.0
POL000973,C2,0.0,0.0,Low Risk,10000.0
POL037692,C5,5.8,0.06,Moderate,16000.0
POL008957,C10,0.0,0.350557318935979,High Risk,45055.7318935979
POL004142,C9,0.0,0.07,Moderate,17000.0
POL056563,C13,0.0,0.07,Moderate,17000.0
POL051047,C5,5.8,0.08,Moderate,18000.0
POL004456,C8,0.0,0.08,Moderate,18000.0
POL010586,C13,0.0,0.05,Low Risk,15000.0
POL001142,C2,0.0,0.0,Low Risk,10000.0
POL041362,C2,0.0,0.0,Low Risk,10000.0
POL044474,C13,0.0,0.02,Low Risk,12000.0
POL043861,C5,5.8,0.01,Low Risk,11000.0
POL028691,C2,0.0,0.01,Low Risk,11000.0
POL038123,C5,5.8,0.0190703299429422,Low Risk,11907.03299429422
POL020272,C3,0.0,0.0096696345924979,Low Risk,10966.96345924979
POL055713,C2,0.0,0.04,Low Risk,14000.0
POL030333,C3,0.0,0.0,Low Risk,10000.0
POL030187,C10,0.0,0.0,Low Risk,10000.0
POL001703,C20,2.7,0.0,Low Risk,10000.0
POL006441,C13,0.0,0.0,Low Risk,10000.0
POL036472,C5,5.8,0.0097773040268007,Low Risk,10977.73040268007
POL029197,C8,0.0,0.0,Low Risk,10000.0
POL019180,C5,5.8,0.0,Low Risk,10000.0
POL003402,C2,0.0,0.0,Low Risk,10000.0
POL047031,C13,0.0,0.0,Low Risk,10000.0
POL019631,C11,0.0,0.61,High Risk,71000.0
POL001010,C5,5.8,0.06,Moderate,16000.0
POL005407,C3,0.0,0.0,Low Risk,10000.0
POL028131,C19,0.2,0.03,Low Risk,13000.0
POL028999,C7,0.0,0.0,Low Risk,10000.0
POL017783,C9,0.0,0.0,Low Risk,10000.0
POL050407,C2,0.0,0.68,High Risk,78000.0
POL035399,C12,0.0,0.11,Moderate,21000.0
POL034507,C7,0.0,0.16,High Risk,26000.0
POL003953,C6,0.1,0.0,Low Risk,10000.0
POL034317,C8,0.0,0.0,Low Risk,10000.0
POL038248,C12,0.0,0.0291377034038408,Low Risk,12913.770340384079
POL008453,C5,5.8,0.0,Low Risk,10000.0
POL032888,C19,0.2,0.01,Low Risk,11000.0
POL030944,C6,0.1,0.06,Moderate,16000.0
POL018599,C8,0.0,0.03,Low Risk,13000.0
POL057118,C9,0.0,0.07,Moderate,17000.0
POL019732,C8,0.0,0.04,Low Risk,14000.0
POL023002,C12,0.0,0.02,Low Risk,12000.0
POL029032,C8,0.0,0.0,Low Risk,10000.0
POL008972,C14,0.0,0.02,Low Risk,12000.0
POL011504,C3,0.0,0.0,Low Risk,10000.0
POL037909,C8,0.0,0.0,Low Risk,10000.0
POL014886,C8,0.0,0.04,Low Risk,14000.0
POL003614,C14,0.0,0.0,Low Risk,10000.0
POL013163,C8,0.0,0.01,Low Risk,11000.0
POL053487,C19,0.2,0.08,Moderate,18000.0
POL003908,C8,0.0,0.01,Low Risk,11000.0
POL050456,C2,0.0,0.01,Low Risk,11000.0
POL042373,C13,0.0,0.03,Low Risk,13000.0
POL036778,C11,0.0,0.01,Low Risk,11000.0
POL004253,C17,0.0,0.0,Low Risk,10000.0
POL023415,C11,0.0,0.02,Low Risk,12000.0
POL020812,C13,0.0,0.57,High Risk,67000.0
POL050480,C8,0.0,0.0,Low Risk,10000.0
POL037430,C7,0.0,0.01,Low Risk,11000.0
POL002905,C3,0.0,0.14,Moderate,24000.000000000004
POL036802,C5,5.8,0.02,Low Risk,12000.0
POL035560,C14,0.0,0.02,Low Risk,12000.0
POL005904,C2,0.0,0.03,Low Risk,13000.0
POL039312,C15,0.0,0.07,Moderate,17000.0
POL053225,C8,0.0,0.0,Low Risk,10000.0
POL052246,C11,0.0,0.0,Low Risk,10000.0
POL013828,C7,0.0,0.0,Low Risk,10000.0
POL049200,C1,12.5,0.01,Low Risk,11000.0
POL048279,C3,0.0,0.03,Low Risk,13000.0
POL040448,C8,0.0,0.02,Low Risk,12000.0
POL003371,C11,0.0,0.0,Low Risk,10000.0
POL038088,C15,0.0,0.0,Low Risk,10000.0
POL046335,C2,0.0,0.0275231080204607,Low Risk,12752.31080204607
POL041560,C12,0.0,0.0,Low Risk,10000.0
POL001499,C8,0.0,0.0,Low Risk,10000.0
POL016503,C2,0.0,0.1,Moderate,20000.0
POL002731,C5,5.8,0.01,Low Risk,11000.0
POL013140,C2,0.0,0.01,Low Risk,11000.0
POL051019,C3,0.0,0.06,Moderate,16000.0
POL049867,C10,0.0,0.01,Low Risk,11000.0
POL001200,C13,0.0,0.04,Low Risk,14000.0
POL023033,C3,0.0,0.19,High Risk,29000.0
POL045715,C2,0.0,0.01,Low Risk,11000.0
POL018993,C19,0.2,0.01,Low Risk,11000.0
POL030028,C17,0.0,0.0,Low Risk,10000.0
POL058386,C5,5.8,0.0,Low Risk,10000.0
POL048134,C3,0.0,0.03,Low Risk,13000.0
POL014435,C2,0.0,0.02,Low Risk,12000.0
POL049468,C8,0.0,0.62,High Risk,72000.0
POL051146,C2,0.0,0.0,Low Risk,10000.0
POL033389,C8,0.0,0.08,Moderate,18000.0
POL042816,C8,0.0,0.0,Low Risk,10000.0
POL052414,C11,0.0,0.0,Low Risk,10000.0
POL052071,C13,0.0,0.0,Low Risk,10000.0
POL027909,C2,0.0,0.0,Low Risk,10000.0
POL021973,C3,0.0,0.0,Low Risk,10000.0
POL023554,C5,5.8,0.0,Low Risk,10000.0
POL034025,C8,0.0,0.23,High Risk,33000.0
POL005162,C13,0.0,0.01,Low Risk,11000.0
POL007383,C7,0.0,0.0,Low Risk,10000.0
POL055255,C13,0.0,0.59,High Risk,69000.0
POL026569,C2,0.0,0.01,Low Risk,11000.0
POL027477,C8,0.0,0.0,Low Risk,10000.0
POL040452,C14,0.0,0.02,Low Risk,12000.0
POL024280,C8,0.0,0.02,Low Risk,12000.0
POL001511,C11,0.0,0.0,Low Risk,10000.0
POL009920,C8,0.0,0.03,Low Risk,13000.0
POL019709,C15,0.0,0.7,High Risk,80000.0
POL017351,C4,0.0,0.61,High Risk,71000.0
POL040352,C5,5.8,0.0,Low Risk,10000.0
POL042230,C17,0.0,0.03,Low Risk,13000.0
POL009484,C5,5.8,0.0,Low Risk,10000.0
POL029884,C3,0.0,0.01,Low Risk,11000.0
POL012758,C11,0.0,0.0487976980609973,Low Risk,14879.76980609973
POL006320,C7,0.0,0.0,Low Risk,10000.0
POL043099,C5,5.8,0.0,Low Risk,10000.0
POL053166,C2,0.0,0.05,Low Risk,15000.0
POL006440,C13,0.0,0.0,Low Risk,10000.0
POL040171,C14,0.0,0.17,High Risk,27000.0
POL052387,C5,5.8,0.0,Low Risk,10000.0
POL017053,C8,0.0,0.0696696345924979,Moderate,16966.96345924979
POL024343,C3,0.0,0.01936039937704,Low Risk,11936.039937704
POL002850,C9,0.0,0.0,Low Risk,10000.0
POL005199,C9,0.0,0.05,Low Risk,15000.0
POL043819,C10,0.0,0.01,Low Risk,11000.0
POL023173,C2,0.0,0.15,Moderate,25000.0
POL032203,C5,5.8,0.0,Low Risk,10000.0
POL038795,C2,0.0,0.02,Low Risk,12000.0
POL004693,C13,0.0,0.0,Low Risk,10000.0
POL016576,C9,0.0,0.06,Moderate,16000.0
POL043015,C1,12.5,0.0,Low Risk,10000.0
POL002976,C13,0.0,0.01,Low Risk,11000.0
POL056099,C11,0.0,0.04,Low Risk,14000.0
POL008269,C8,0.0,0.09,Moderate,19000.0
POL043882,C13,0.0,0.01,Low Risk,11000.0
POL039622,C5,5.8,0.0,Low Risk,10000.0
POL013907,C8,0.0,0.04,Low Risk,14000.0
POL017914,C13,0.0,0.01,Low Risk,11000.0
POL023547,C2,0.0,0.02,Low Risk,12000.0
POL043969,C13,0.0,0.04,Low Risk,14000.0
POL021367,C10,0.0,0.01,Low Risk,11000.0
POL017444,C8,0.0,0.01,Low Risk,11000.0
POL013268,C3,0.0,0.0,Low Risk,10000.0
POL040065,C8,0.0,0.01,Low Risk,11000.0
POL009971,C2,0.0,0.69,High Risk,79000.0
POL038831,C13,0.0,0.01,Low Risk,11000.0
POL014658,C8,0.0,0.01,Low Risk,11000.0
POL027506,C14,0.0,0.0,Low Risk,10000.0
POL013934,C2,0.0,0.0,Low Risk,10000.0
POL033872,C13,0.0,0.0,Low Risk,10000.0
POL056688,C16,0.0,0.0,Low Risk,10000.0
POL054780,C5,5.8,0.0,Low Risk,10000.0
POL033969,C11,0.0,0.02,Low Risk,12000.0
